va,vb,exp,sim,sign_error,exp_error,man_error
a013,9648,00cd,0000,False,0,205
9458,9167,000c,0000,False,0,12
1d8a,1a5f,011a,0000,False,0,282
129c,17b6,0019,0000,False,0,25
1072,4d2d,21c1,21c0,False,0,1
0542,3d14,06ad,06ac,False,0,1
6631,cee5,f956,f955,False,0,1
c07b,424e,c710,c70f,False,0,1
8a39,e27a,310a,3109,False,0,1
6ee9,0bd0,3ec0,3ebf,False,0,1
1028,a603,80c8,8000,False,0,200
cdd9,8c22,1e0b,1e0a,False,0,1
042c,12b5,0001,0000,False,0,1
8fa8,678c,bb39,bb38,False,0,1
0c2d,e138,b173,b172,False,0,1
6d81,b630,e842,e841,False,0,1
4076,af52,b415,b414,False,0,1
960c,71ec,cc7a,cc79,False,0,1
5148,176b,2ce6,2ce5,False,0,1
b016,d370,4799,4798,False,0,1
5636,bd26,d7ff,d7fe,False,0,1
4a79,5649,6516,6515,False,0,1
743e,1bb4,5416,5415,False,0,1
c172,6ebf,f498,f497,False,0,1
340b,0227,008b,0000,False,0,139
48d1,a272,afc3,afc2,False,0,1
a156,08a4,8019,8000,False,0,25
616c,80ec,a100,a6ab,False,-1,-427
8535,b669,0216,0000,False,0,534
0bb2,2f34,01bb,0000,False,0,443
1700,8ea9,800c,8000,False,0,12
deb9,9951,3c78,3c77,False,0,1
c4c0,6425,ecec,eceb,False,0,1
a01e,e5fc,4a29,4a28,False,0,1
ea6c,3555,e448,e447,False,0,1
ef8f,a29b,563e,563d,False,0,1
902a,56e8,ab31,ab30,False,0,1
6d5a,c6c9,f88a,f889,False,0,1
d6fb,e660,7c00,0190,False,31,-400
822c,67a0,ac24,ade1,False,0,-445
30b4,8cb8,82c6,818c,False,0,314
9d1c,03f0,8005,8000,False,0,5
411f,3435,3963,3962,False,0,1
42e4,f972,fc00,80b0,False,31,-176
5f27,1de8,4148,4147,False,0,1
a5dc,00c0,8004,8000,False,0,4
8c22,69b8,b9e9,b9e8,False,0,1
84ca,35c6,81ba,8000,False,0,442
4af2,7188,7c00,00cd,False,31,-205
caa4,5aad,e98b,e98a,False,0,1
9960,b4b6,1255,1254,False,0,1
631f,b8be,e039,e038,False,0,1
d32e,6386,fac1,fac0,False,0,1
1a24,84af,8004,8000,False,0,4
506b,0bbd,2046,2045,False,0,1
a216,8cd0,003b,0000,False,0,59
dbf0,b28c,527f,527e,False,0,1
32a8,dd06,d42e,d42d,False,0,1
c5d4,3420,be03,be02,False,0,1
ab18,2466,93cd,93cc,False,0,1
c3db,0e98,967a,9679,False,0,1
96d5,892e,0004,0000,False,0,4
eb18,2b51,da7d,da7c,False,0,1
ca7f,e5cd,74b6,74b5,False,0,1
888b,67d0,b470,b46f,False,0,1
1265,5cd0,33b2,33b1,False,0,1
686c,95cd,c26a,c269,False,0,1
1a4a,8840,8007,8000,False,0,7
dbab,5078,f049,f048,False,0,1
3e5d,59da,5ca8,5ca7,False,0,1
a0d2,81b0,0004,0000,False,0,4
70fa,3835,6d3c,6d3b,False,0,1
6f2c,aecf,e21b,e21a,False,0,1
29af,15fe,0442,0441,False,0,1
30f9,85b8,80e3,8000,False,0,227
0485,3400,0121,0000,False,0,289
ada8,8040,0006,0000,False,0,6
d914,2af4,c86a,c869,False,0,1
8ecc,8536,0001,0000,False,0,1
131c,33bc,0ae0,0adf,False,0,1
555a,4e42,6830,682f,False,0,1
117a,4534,1b20,1b1f,False,0,1
aa7f,a1b7,10a4,10a3,False,0,1
05d2,2f60,00ac,0000,False,0,172
4a4d,d626,e4d8,e4d7,False,0,1
d330,67e7,fc00,ff19,False,0,-793
0be2,d456,a446,a445,False,0,1
d53d,413b,dada,dad9,False,0,1
e4e4,2a58,d3c2,d3c1,False,0,1
0422,2609,0019,0000,False,0,25
