va,vb,exp,sim,sign_error,exp_error,man_error
0090,0a2c,0a74,0b50,False,0,-220
0394,8e60,8d7b,8d6e,False,0,13
a78d,30c9,2faf,2fae,False,0,1
5a6c,e816,e75e,e75f,False,0,-1
0565,0380,0872,0892,False,0,-32
a068,14c6,9f9e,9f9f,False,0,-1
2a45,b438,b2df,b2de,False,0,1
9145,1c24,1af7,1af6,False,0,1
874d,02f2,845b,81ea,False,1,-399
744d,7b1b,7c00,7ca1,False,0,-161
3802,99af,37f9,37f8,False,0,1
0aaf,8b0e,80be,81f0,False,0,-306
ac60,81a8,ac60,ac61,False,0,-1
0594,8435,015f,017c,False,0,-29
81ce,1e24,1e1d,1e18,False,0,5
006c,9d91,9d8f,9d88,False,0,7
0259,0011,026a,0535,False,-1,309
90a5,0ea3,894e,8aa7,False,0,-345
9add,822a,9aee,9af6,False,0,-8
10ac,a806,a7e7,a7e6,False,0,1
2de2,0131,2de2,2de3,False,0,-1
843e,0310,812e,81b0,False,0,-130
7907,7857,7c00,7caf,False,0,-175
8248,a174,a179,a17a,False,0,-1
2519,b426,b3a9,b3a8,False,0,1
100e,02ac,1064,1079,False,0,-21
d985,52bf,d7aa,d7ab,False,0,-1
11db,0378,124a,1252,False,0,-8
8af0,0d3a,0708,05c2,False,0,326
85f5,06d1,00dc,02e0,False,0,-516
00fb,0a67,0ae4,0ba6,False,0,-194
0010,0220,0230,0518,False,-1,280
813f,2e48,2e48,2e47,False,0,1
0181,950a,94f2,94de,False,0,20
41cc,bbc3,3fb6,3fb7,False,0,-1
038c,1196,1208,120f,False,0,-7
03ff,09eb,0bea,0beb,False,0,-1
00d0,8258,8188,8220,False,0,-152
2fec,8010,2fec,2feb,False,0,1
86b0,8226,886b,88e2,False,0,-119
829e,aaf4,aaf5,aaf6,False,0,-1
2c00,a75b,2852,2853,False,0,-1
086a,87e2,00f2,0390,False,0,-670
